Num. Execução,Tamanho,Algoritmo,Tempo (MS)
1,2000,InsertionSort,733
1,2000,SelectionSort,1406
1,2000,BubbleSort,1155
1,2000,QuickSort,1663
1,4000,InsertionSort,333
1,4000,SelectionSort,358
1,4000,BubbleSort,267
1,4000,QuickSort,352
1,8000,InsertionSort,207
1,8000,SelectionSort,375
1,8000,BubbleSort,235
1,8000,QuickSort,354
1,12000,InsertionSort,193
1,12000,SelectionSort,599
1,12000,BubbleSort,270
1,12000,QuickSort,352
1,16000,InsertionSort,307
1,16000,SelectionSort,233
1,16000,BubbleSort,242
1,16000,QuickSort,297
2,2000,InsertionSort,976
2,2000,SelectionSort,1224
2,2000,BubbleSort,1192
2,2000,QuickSort,1741
2,4000,InsertionSort,385
2,4000,SelectionSort,355
2,4000,BubbleSort,408
2,4000,QuickSort,516
2,8000,InsertionSort,301
2,8000,SelectionSort,439
2,8000,BubbleSort,392
2,8000,QuickSort,485
2,12000,InsertionSort,359
2,12000,SelectionSort,555
2,12000,BubbleSort,811
2,12000,QuickSort,375
2,16000,InsertionSort,515
2,16000,SelectionSort,343
2,16000,BubbleSort,720
2,16000,QuickSort,466
3,2000,InsertionSort,808
3,2000,SelectionSort,1310
3,2000,BubbleSort,1153
3,2000,QuickSort,1761
3,4000,InsertionSort,265
3,4000,SelectionSort,347
3,4000,BubbleSort,236
3,4000,QuickSort,318
3,8000,InsertionSort,198
3,8000,SelectionSort,237
3,8000,BubbleSort,223
3,8000,QuickSort,336
3,12000,InsertionSort,393
3,12000,SelectionSort,532
3,12000,BubbleSort,456
3,12000,QuickSort,572
3,16000,InsertionSort,334
3,16000,SelectionSort,366
3,16000,BubbleSort,475
3,16000,QuickSort,479
4,2000,InsertionSort,745
4,2000,SelectionSort,1159
4,2000,BubbleSort,1160
4,2000,QuickSort,1913
4,4000,InsertionSort,289
4,4000,SelectionSort,444
4,4000,BubbleSort,536
4,4000,QuickSort,728
4,8000,InsertionSort,291
4,8000,SelectionSort,445
4,8000,BubbleSort,502
4,8000,QuickSort,629
4,12000,InsertionSort,261
4,12000,SelectionSort,362
4,12000,BubbleSort,220
4,12000,QuickSort,368
4,16000,InsertionSort,209
4,16000,SelectionSort,526
4,16000,BubbleSort,250
4,16000,QuickSort,379
5,2000,InsertionSort,760
5,2000,SelectionSort,1224
5,2000,BubbleSort,1060
5,2000,QuickSort,1718
5,4000,InsertionSort,193
5,4000,SelectionSort,251
5,4000,BubbleSort,236
5,4000,QuickSort,466
5,8000,InsertionSort,209
